pair,int_area_per_mac_um2,float_area_per_mac_um2,separate_full_throughput_area_um2,hybrid_lower_bound_um2,maximum_hybrid_overhead_before_losing_to_two_full_arrays_um2,maximum_hybrid_overhead_fraction_of_float,separate_float_tile_ratio_break_even_if_hybrid_equals_float
W4A8 + FP8 E4M3,181.4906145703125,678.314008,859.8046225703124,678.314008,181.4906145703125,0.2675613542250664,0.7324386457749337
W8A8 + FP8 E4M3,264.75135080859377,678.314008,943.0653588085937,678.314008,264.75135080859377,0.39030795131182633,0.6096920486881736
W4A8 + BF16 (1GHz fail),181.4906145703125,897.6773295390625,1079.167944109375,897.6773295390625,181.4906145703125,0.20217800828667903,0.7978219917133209
W8A8 + BF16 (1GHz fail),264.75135080859377,897.6773295390625,1162.4286803476562,897.6773295390625,264.75135080859377,0.29492930488122915,0.7050706951187709
