matched_separate_reference,reference_area_um2,fusion16_must_be_below_um2,old_shared_native_area_um2,old_shared_native_ratio_to_reference
Fusion16 matched: 8x W4A8 + 16x FP8,5873.504016,5873.504016,2027.389016,0.3451753860178173
Fusion16 matched: 8x W4A8 + 16x FP8 + 4x BF16,8389.108032,8389.108032,2027.389016,0.24166919871178028
Conservative lane4: 8x W4A8 + 4x FP8 + 4x BF16,5440.708032,5440.708032,2027.389016,0.37263330509112674
Fusion16 matched: 4x W8A8 + 16x FP8 + 4x BF16,7066.514029,7066.514029,2027.389016,0.28690086903951156
