input_kind,dot_length,samples,reference_rms,nrmse,median_relative_error_filtered,p95_relative_error_filtered,p99_relative_error_filtered,max_abs_error
fp8_proxy,16,1000,3.4903579363798847,0.003646662177125699,0.0029128168876665327,0.01373793089721413,0.02601746968246855,0.0751953125
fp8_proxy,64,800,7.413917127464306,0.005392078642134834,0.004576825881582632,0.021019349694264958,0.039939658497092564,0.1534423828125
fp8_proxy,128,600,9.826734836373964,0.007581596468527989,0.006376438844072459,0.027289494088850678,0.05477406632653903,0.3519439697265625
fp8_proxy,256,400,14.383525594795135,0.009648979608077344,0.007944885123324804,0.03509716646392656,0.060556037879619266,0.6185846328735352
fp8_proxy,1024,160,29.929610131799297,0.019895218350926485,0.01580451809519824,0.053569113109072045,0.09295766739341607,3.0840721130371094
bf16,16,1000,4.196994708575602,0.0038918962011479223,0.0031568773176939933,0.01557665124668395,0.02912911631873576,0.08301377296447754
bf16,64,800,8.07290797003016,0.005759594752450542,0.00462659289909485,0.021845757890840818,0.042933495897293054,0.174332857131958
bf16,128,600,11.84557463345928,0.0073615231253861225,0.006442845958872523,0.02846999906928583,0.04571310314368097,0.3699544668197632
bf16,256,400,15.80345036722793,0.009884465569223247,0.008707327063699227,0.048283641939454745,0.0948377725505185,0.5534120798110962
bf16,1024,160,30.281816986375887,0.01760668348715578,0.011638164108963756,0.07103550718140463,0.11068435696405204,2.3537481501698494
