input_kind,dot_length,items_per_cycle,accum_style,nrmse_pct,median_relative_error_pct,p95_relative_error_pct,p99_relative_error_pct,median_cancellation_ratio,p99_cancellation_ratio
fp8_proxy,128,4,full_bf16,0.6931504058504446,0.5592147381268717,2.622151898383284,4.719580861353254,10.36092149211666,504.7224706419304
fp8_proxy,128,4,bf16_tree_fp32_recurrent,0.2260257365340263,0.20017789284184784,1.346686032291413,2.7195792941331964,10.36092149211666,504.7224706419304
fp8_proxy,128,4,bf16_block64_fp32_checkpoint,0.5501336514665925,0.469355742709165,2.603831259282539,5.654052715602163,10.36092149211666,504.7224706419304
fp8_proxy,1024,4,full_bf16,2.0500471873220265,1.5793810125419643,7.612668916772407,16.595545869889616,32.156056626355905,1464.1053155772931
fp8_proxy,1024,4,bf16_tree_fp32_recurrent,0.2524447636764099,0.22934715254074484,1.5560669441697352,2.841242530252451,32.156056626355905,1464.1053155772931
fp8_proxy,1024,4,bf16_block64_fp32_checkpoint,0.5754879030333345,0.4901522821233078,3.653493139388249,6.869445495041374,32.156056626355905,1464.1053155772931
fp8_proxy,4096,4,full_bf16,4.325051231589395,2.945251537896844,16.260069902174067,38.53416804464941,56.73975834302405,1214.6342979602302
fp8_proxy,4096,4,bf16_tree_fp32_recurrent,0.23539996212345055,0.21724737041166448,2.0355012532900427,3.1785046096048877,56.73975834302405,1214.6342979602302
fp8_proxy,4096,4,bf16_block64_fp32_checkpoint,0.5793472484639987,0.5554090195190955,3.4942714862408115,7.257771765674794,56.73975834302405,1214.6342979602302
bf16,128,1,full_bf16,1.2856959778851453,0.959798755678153,4.290134131227836,8.012739030624513,10.266725986665012,301.9311220134675
bf16,128,1,bf16_tree_fp32_recurrent,0.16782958189835337,0.14519445084761057,0.8935726105690958,1.8708172017861255,10.266725986665012,301.9311220134675
bf16,128,1,bf16_block64_fp32_checkpoint,0.9523404974539332,0.7449958641903542,3.6843010802734915,8.324780738750693,10.266725986665012,301.9311220134675
bf16,1024,1,full_bf16,3.3262092661770146,2.426201661428153,10.905606092871132,17.91968252630704,27.865350156260902,961.8620598556631
bf16,1024,1,bf16_tree_fp32_recurrent,0.16263120879502477,0.13753949446577304,0.8823921343968951,1.7403583933375644,27.865350156260902,961.8620598556631
bf16,1024,1,bf16_block64_fp32_checkpoint,0.9415298705521938,0.7492204191795957,4.68333464227342,10.071379913890222,27.865350156260902,961.8620598556631
bf16,4096,1,full_bf16,7.520671217181814,5.557904376285372,24.593573574105474,38.752231557627965,67.52754922203519,1445.5150796388066
bf16,4096,1,bf16_tree_fp32_recurrent,0.17992304600930645,0.13881543484345416,1.3116257740544495,2.0654457560995465,67.52754922203519,1445.5150796388066
bf16,4096,1,bf16_block64_fp32_checkpoint,1.0490328611723183,0.9368006456004598,6.115557179715928,13.995045547992913,67.52754922203519,1445.5150796388066
