mode,distribution,dot_length,samples,items_per_lane_per_cycle,reference_rms,rmse,nrmse_pct,relative_samples,median_relative_pct,p95_relative_pct,p99_relative_pct,max_abs_error
fp8_fp8,gaussian,16,2400,4,9.106472210099215,0.02114674887012371,0.23221669579874904,2193,0.18276926955316064,1.0039647230329982,1.907200772412573,0.115234375
fp8_fp8,gaussian,64,1600,4,17.690381486022332,0.041075988462872116,0.2321939099805587,1461,0.19420930129126948,1.4305074536967324,2.4767689386029117,0.18304443359375
fp8_fp8,gaussian,128,1200,4,24.979025100704536,0.059018308958728366,0.23627146664368318,1103,0.20074873853833217,1.4519517550531396,3.132231015098434,0.2987060546875
fp8_fp8,gaussian,1024,360,4,72.6368674027428,0.17202664990330863,0.2368310419411243,334,0.19918867409127608,1.1581086912407403,2.866631091089065,0.46407318115234375
fp8_fp8,gaussian,4096,120,4,151.13716917544178,0.32005113560994464,0.21176202872929661,111,0.1790129345465907,0.8862515095891011,2.6774977250715746,0.8987388610839844
fp8_fp8,positive,16,2400,4,23.86050525021042,0.029771951986792188,0.12477502749666057,2400,0.08543459477519895,0.24716998004623494,0.31712937161152294,0.12109375
fp8_fp8,positive,64,1600,4,92.28801667842312,0.05732376392578961,0.06211398401325908,1600,0.04080440241756822,0.12127061732636482,0.16273357091714824,0.21405029296875
fp8_fp8,positive,128,1200,4,183.7763354372279,0.08344476128859259,0.04540560735965629,1200,0.030186314993757644,0.08625543549437463,0.11709822969672577,0.296142578125
fp8_fp8,positive,1024,360,4,1463.125387263567,0.2510339783510943,0.017157379711700203,360,0.01148427683951807,0.03386586350522799,0.04420951908505069,0.8520660400390625
fp8_fp8,positive,4096,120,4,5850.036750401845,0.5995008462234623,0.01024781333522874,120,0.007075052681414405,0.01900429774652054,0.02648174699344083,1.5851478576660156
fp8_fp8,outlier,16,2400,4,41.40514393214505,0.09090680854624276,0.21955438361770044,1687,0.15017064846416384,0.5461258502704124,0.8924712851555945,1.1806640625
fp8_fp8,outlier,64,1600,4,179.55981163500957,0.29224225462034087,0.16275482356507504,1020,0.15639596284587165,0.5809453309335386,1.0506422799027324,4.2603759765625
fp8_fp8,outlier,128,1200,4,278.8241643990961,0.3020545195153735,0.10833154298743868,865,0.1554695511230194,0.5799336827033075,1.2661082136283701,2.190673828125
fp8_fp8,outlier,1024,360,4,929.7388711367299,1.0449527149624003,0.11239206484771429,280,0.15606829437610478,0.7566345387575227,1.1610458248589364,5.510444641113281
fp8_fp8,outlier,4096,120,4,1050.613478215591,2.003367481600559,0.19068549215675093,111,0.18063700115402637,1.061695761409234,1.3540290026328883,6.041572570800781
