mode,coverage_kind,checks,finite_equivalence_checks,special_representative_checks,mismatches,raw_pair_space
i4_i8,literal_exhaustive_pairs,4096,0,0,0,4096
i8_i8,literal_exhaustive_pairs,65536,0,0,0,65536
fp8_fp8,literal_exhaustive_raw_pairs,65536,0,0,0,65536
i4_fp8,literal_exhaustive_raw_pairs,4096,0,0,0,4096
i4_bf16,literal_exhaustive_raw_pairs,1048576,0,0,0,1048576
i8_bf16,literal_exhaustive_raw_pairs,16777216,0,0,0,16777216
bf16_bf16,complete_equivalence_class_proof,12235448,12235348,100,0,4294967296
