architecture,area_1ghz_um2,wns_ns,timing_met_1ghz,concurrent_mode_count,throughput_match,area_ratio_vs_v2_separate,area_saving_vs_v2_separate_pct,pareto_eligible_1ghz,pareto_dominated
V2_SHARED_FULL7_FTZ,11995.438,2.65241e-05,1,1,single_selected_mode,0.8438998469920167,15.61001530079833,1,0
V2_SEPARATE_FULL_FTZ,14214.291,5.48363e-06,1,3,full_integer_fp8_bf16_concurrency,1.0,0.0,1,0
V1_SHARED_FULL_REFERENCE,23201.815,-0.100014,0,1,v1_reference_only,1.6322878854808869,-63.22878854808869,0,0
V1_SEPARATE_FULL_REFERENCE,27912.885,-0.0086357,0,3,v1_reference_only,1.9637198225363475,-96.37198225363474,0,0
